trip_id,pickup_time,drop_time,pickup_area,drop_area,distance_km,fare_inr,ride_type,driver_id,trip_duration_mins,hour,weekday,is_peak
1055,2023-07-01 11:59:00,2023-07-01 12:43:00,Electronic City,Jayanagar,10.4,195.74,Uber,D040,44.0,11,Saturday,0
1056,2023-07-11 07:06:00,2023-07-11 07:16:00,Marathahalli,Jayanagar,7.0,138.18,Auto,D011,10.0,7,Tuesday,1
1057,2023-07-04 07:20:00,2023-07-04 07:40:00,Indiranagar,BTM Layout,5.1,95.1,Uber,D008,20.0,7,Tuesday,1
1058,2023-07-29 13:37:00,2023-07-29 14:12:00,Jayanagar,Electronic City,10.7,212.49,Uber,D031,35.0,13,Saturday,0
1059,2023-07-28 08:49:00,2023-07-28 09:06:00,Indiranagar,Electronic City,10.8,209.26,Ola,D007,17.0,8,Friday,1
1060,2023-07-28 14:08:00,2023-07-28 14:48:00,Koramangala,MG Road,9.1,220.95,Auto,D003,40.0,14,Friday,0
1061,2023-07-04 19:06:00,2023-07-04 19:21:00,Koramangala,Hebbal,8.8,216.08,Auto,D045,15.0,19,Tuesday,1
1062,2023-07-21 22:16:00,2023-07-21 22:40:00,BTM Layout,Koramangala,6.3,137.52,Uber,D012,24.0,22,Friday,0
1063,2023-07-22 19:09:00,2023-07-22 19:21:00,Hebbal,Electronic City,8.1,189.47,Auto,D013,12.0,19,Saturday,1
1064,2023-07-18 11:39:00,2023-07-18 12:01:00,Electronic City,HSR Layout,9.1,187.88,Ola,D008,22.0,11,Tuesday,0
1065,2023-07-02 19:56:00,2023-07-02 20:14:00,BTM Layout,Whitefield,8.9,197.85,Ola,D007,18.0,19,Sunday,1
1066,2023-07-08 06:43:00,2023-07-08 06:54:00,HSR Layout,Hebbal,3.3,70.26,Ola,D002,11.0,6,Saturday,0
1067,2023-07-30 15:20:00,2023-07-30 15:57:00,Koramangala,Whitefield,4.4,101.02,Ola,D048,37.0,15,Sunday,0
1068,2023-07-28 15:51:00,2023-07-28 16:36:00,Hebbal,Whitefield,7.6,167.45,Ola,D046,45.0,15,Friday,0
1069,2023-07-18 18:37:00,2023-07-18 19:20:00,Hebbal,BTM Layout,4.8,116.91,Uber,D012,43.0,18,Tuesday,1
1070,2023-07-29 18:55:00,2023-07-29 19:40:00,Whitefield,BTM Layout,13.0,278.89,Auto,D031,45.0,18,Saturday,1
1071,2023-07-13 19:52:00,2023-07-13 20:35:00,Marathahalli,BTM Layout,8.7,179.35,Auto,D004,43.0,19,Thursday,1
1072,2023-07-03 06:53:00,2023-07-03 07:16:00,Hebbal,MG Road,11.4,255.68,Auto,D030,23.0,6,Monday,0
1073,2023-07-03 17:51:00,2023-07-03 18:09:00,Marathahalli,Electronic City,8.2,169.01,Auto,D024,18.0,17,Monday,1
1074,2023-07-17 09:30:00,2023-07-17 09:43:00,Electronic City,Indiranagar,8.9,163.75,Uber,D050,13.0,9,Monday,1
1075,2023-07-13 21:52:00,2023-07-13 22:09:00,Hebbal,MG Road,8.9,195.95,Ola,D026,17.0,21,Thursday,0
1076,2023-07-03 18:06:00,2023-07-03 18:33:00,Electronic City,HSR Layout,3.7,82.08,Uber,D043,27.0,18,Monday,1
1077,2023-07-28 20:54:00,2023-07-28 21:22:00,BTM Layout,Whitefield,9.8,236.57,Auto,D040,28.0,20,Friday,0
1078,2023-07-30 11:24:00,2023-07-30 11:46:00,Marathahalli,Koramangala,13.7,272.65,Ola,D006,22.0,11,Sunday,0
1079,2023-07-17 11:49:00,2023-07-17 12:16:00,Marathahalli,Whitefield,10.8,255.25,Auto,D020,27.0,11,Monday,0
1080,2023-07-25 15:19:00,2023-07-25 15:55:00,HSR Layout,Hebbal,6.0,114.1,Uber,D014,36.0,15,Tuesday,0
1081,2023-07-12 06:02:00,2023-07-12 06:24:00,BTM Layout,Marathahalli,12.3,303.95,Auto,D039,22.0,6,Wednesday,0
1082,2023-07-19 16:42:00,2023-07-19 17:12:00,Jayanagar,HSR Layout,3.5,79.62,Uber,D043,30.0,16,Wednesday,0
1083,2023-07-24 18:17:00,2023-07-24 18:46:00,Indiranagar,Marathahalli,9.6,235.52,Auto,D022,29.0,18,Monday,1
1084,2023-07-10 06:55:00,2023-07-10 07:25:00,BTM Layout,HSR Layout,11.0,239.5,Uber,D029,30.0,6,Monday,0
1085,2023-07-12 12:47:00,2023-07-12 13:08:00,Electronic City,HSR Layout,6.9,145.73,Auto,D045,21.0,12,Wednesday,0
1086,2023-07-20 08:07:00,2023-07-20 08:45:00,MG Road,Electronic City,10.5,244.86,Ola,D030,38.0,8,Thursday,1
1087,2023-07-08 18:29:00,2023-07-08 19:05:00,Whitefield,Hebbal,10.6,199.44,Uber,D029,36.0,18,Saturday,1
1088,2023-07-09 18:56:00,2023-07-09 19:20:00,Whitefield,Jayanagar,14.2,314.29,Auto,D022,24.0,18,Sunday,1
1089,2023-07-24 06:03:00,2023-07-24 06:29:00,Marathahalli,MG Road,10.0,192.72,Auto,D016,26.0,6,Monday,0
1090,2023-07-21 08:13:00,2023-07-21 08:28:00,Marathahalli,Electronic City,5.5,108.42,Uber,D046,15.0,8,Friday,1
1091,2023-07-01 22:39:00,2023-07-01 22:57:00,Jayanagar,HSR Layout,9.7,227.66,Ola,D029,18.0,22,Saturday,0
1092,2023-07-17 07:15:00,2023-07-17 07:54:00,BTM Layout,Electronic City,9.6,185.44,Ola,D018,39.0,7,Monday,1
1093,2023-07-05 20:28:00,2023-07-05 21:12:00,Koramangala,MG Road,9.5,197.05,Ola,D034,44.0,20,Wednesday,0
1094,2023-07-04 13:37:00,2023-07-04 14:18:00,Whitefield,Indiranagar,5.0,121.82,Auto,D029,41.0,13,Tuesday,0
1095,2023-07-27 17:08:00,2023-07-27 17:27:00,Whitefield,BTM Layout,7.4,152.1,Uber,D035,19.0,17,Thursday,1
1096,2023-07-26 19:11:00,2023-07-26 19:40:00,BTM Layout,Koramangala,7.2,175.86,Ola,D033,29.0,19,Wednesday,1
1097,2023-07-11 15:31:00,2023-07-11 15:46:00,MG Road,Hebbal,7.6,144.55,Auto,D029,15.0,15,Tuesday,0
1098,2023-07-11 12:48:00,2023-07-11 13:14:00,Electronic City,BTM Layout,13.6,337.44,Auto,D012,26.0,12,Tuesday,0
1099,2023-07-02 15:33:00,2023-07-02 15:46:00,Electronic City,Whitefield,5.8,110.4,Uber,D044,13.0,15,Sunday,0
1100,2023-07-10 07:57:00,2023-07-10 08:08:00,Hebbal,Electronic City,3.5,65.8,Ola,D040,11.0,7,Monday,1
1101,2023-07-05 07:43:00,2023-07-05 08:20:00,Hebbal,Jayanagar,11.8,247.47,Auto,D046,37.0,7,Wednesday,1
1102,2023-07-05 19:19:00,2023-07-05 19:51:00,Hebbal,MG Road,8.0,188.08,Uber,D025,32.0,19,Wednesday,1
1103,2023-07-08 17:38:00,2023-07-08 18:12:00,HSR Layout,Electronic City,3.6,79.5,Auto,D009,34.0,17,Saturday,1
1104,2023-07-01 11:29:00,2023-07-01 11:43:00,HSR Layout,Electronic City,11.1,261.5,Ola,D009,14.0,11,Saturday,0
1105,2023-07-24 17:59:00,2023-07-24 18:13:00,Hebbal,BTM Layout,14.6,330.95,Ola,D010,14.0,17,Monday,1
1106,2023-07-17 20:11:00,2023-07-17 20:52:00,Koramangala,Jayanagar,3.1,63.73,Ola,D022,41.0,20,Monday,0
1107,2023-07-14 14:16:00,2023-07-14 14:53:00,Whitefield,Jayanagar,8.3,206.47,Ola,D041,37.0,14,Friday,0
1108,2023-07-01 10:26:00,2023-07-01 10:47:00,Whitefield,Koramangala,5.8,117.02,Auto,D035,21.0,10,Saturday,0
1109,2023-07-17 14:14:00,2023-07-17 14:40:00,Jayanagar,Hebbal,11.6,232.24,Auto,D049,26.0,14,Monday,0
1110,2023-07-27 08:53:00,2023-07-27 09:37:00,Electronic City,Marathahalli,3.1,66.27,Uber,D007,44.0,8,Thursday,1
1111,2023-07-15 07:23:00,2023-07-15 07:36:00,Indiranagar,Electronic City,13.3,314.33,Auto,D033,13.0,7,Saturday,1
1112,2023-07-03 12:49:00,2023-07-03 13:08:00,Electronic City,Jayanagar,5.5,99.68,Ola,D020,19.0,12,Monday,0
1113,2023-07-07 22:18:00,2023-07-07 22:30:00,Marathahalli,Hebbal,13.5,260.96,Uber,D021,12.0,22,Friday,0
1114,2023-07-06 16:19:00,2023-07-06 16:43:00,MG Road,Indiranagar,4.9,117.37,Uber,D014,24.0,16,Thursday,0
1115,2023-07-09 10:59:00,2023-07-09 11:13:00,Koramangala,MG Road,6.2,113.9,Auto,D010,14.0,10,Sunday,0
1116,2023-07-25 19:22:00,2023-07-25 19:38:00,Marathahalli,MG Road,3.1,64.25,Uber,D027,16.0,19,Tuesday,1
1117,2023-07-02 19:17:00,2023-07-02 19:32:00,Hebbal,Electronic City,6.8,166.38,Auto,D044,15.0,19,Sunday,1
1118,2023-07-17 12:55:00,2023-07-17 13:26:00,HSR Layout,Indiranagar,3.7,78.04,Uber,D031,31.0,12,Monday,0
1119,2023-07-13 21:33:00,2023-07-13 22:01:00,Electronic City,Marathahalli,13.5,307.81,Ola,D044,28.0,21,Thursday,0
1120,2023-07-27 08:52:00,2023-07-27 09:10:00,Koramangala,Marathahalli,11.9,284.09,Ola,D027,18.0,8,Thursday,1
1121,2023-07-21 17:42:00,2023-07-21 18:12:00,Koramangala,MG Road,6.2,127.2,Ola,D022,30.0,17,Friday,1
1122,2023-07-19 20:34:00,2023-07-19 21:15:00,HSR Layout,Hebbal,4.8,100.03,Uber,D032,41.0,20,Wednesday,0
1123,2023-07-26 10:33:00,2023-07-26 11:04:00,MG Road,Hebbal,11.9,231.09,Ola,D013,31.0,10,Wednesday,0
1124,2023-07-05 09:25:00,2023-07-05 09:46:00,BTM Layout,MG Road,3.2,61.15,Uber,D038,21.0,9,Wednesday,1
1125,2023-07-10 18:19:00,2023-07-10 18:36:00,BTM Layout,Indiranagar,10.8,254.5,Auto,D046,17.0,18,Monday,1
1126,2023-07-27 20:57:00,2023-07-27 21:30:00,HSR Layout,MG Road,5.8,116.09,Ola,D024,33.0,20,Thursday,0
1127,2023-07-22 12:00:00,2023-07-22 12:12:00,Hebbal,HSR Layout,6.6,155.39,Auto,D022,12.0,12,Saturday,0
1128,2023-07-14 11:09:00,2023-07-14 11:37:00,HSR Layout,Whitefield,9.0,164.59,Uber,D010,28.0,11,Friday,0
1129,2023-07-16 12:20:00,2023-07-16 13:04:00,Electronic City,Marathahalli,10.3,234.04,Uber,D027,44.0,12,Sunday,0
1130,2023-07-25 08:47:00,2023-07-25 09:07:00,Jayanagar,Marathahalli,5.8,141.2,Ola,D025,20.0,8,Tuesday,1
1131,2023-07-14 17:20:00,2023-07-14 17:34:00,Electronic City,Jayanagar,10.9,229.51,Uber,D031,14.0,17,Friday,1
1132,2023-07-25 09:09:00,2023-07-25 09:35:00,Electronic City,MG Road,10.1,194.22,Uber,D004,26.0,9,Tuesday,1
1133,2023-07-06 20:40:00,2023-07-06 21:09:00,Hebbal,Marathahalli,12.3,252.61,Uber,D009,29.0,20,Thursday,0
1134,2023-07-14 08:40:00,2023-07-14 08:51:00,Marathahalli,HSR Layout,9.9,207.23,Ola,D012,11.0,8,Friday,1
1135,2023-07-16 15:57:00,2023-07-16 16:41:00,Hebbal,Marathahalli,9.2,214.34,Ola,D049,44.0,15,Sunday,0
1136,2023-07-16 10:50:00,2023-07-16 11:02:00,MG Road,Marathahalli,9.8,210.72,Ola,D037,12.0,10,Sunday,0
1137,2023-07-15 11:52:00,2023-07-15 12:26:00,Jayanagar,Electronic City,9.7,195.78,Ola,D024,34.0,11,Saturday,0
1138,2023-07-06 17:50:00,2023-07-06 18:35:00,Jayanagar,Hebbal,13.4,258.45,Auto,D036,45.0,17,Thursday,1
1139,2023-07-05 13:33:00,2023-07-05 13:54:00,BTM Layout,Koramangala,3.6,65.94,Uber,D043,21.0,13,Wednesday,0
1140,2023-07-13 17:36:00,2023-07-13 18:10:00,Jayanagar,MG Road,4.3,89.96,Auto,D002,34.0,17,Thursday,1
1141,2023-07-30 14:01:00,2023-07-30 14:46:00,Whitefield,Hebbal,13.0,291.43,Uber,D040,45.0,14,Sunday,0
1142,2023-07-18 06:53:00,2023-07-18 07:05:00,Koramangala,Jayanagar,6.1,146.49,Auto,D046,12.0,6,Tuesday,0
1143,2023-07-15 08:54:00,2023-07-15 09:29:00,HSR Layout,Hebbal,6.4,117.34,Uber,D003,35.0,8,Saturday,1
1144,2023-07-19 12:27:00,2023-07-19 13:12:00,MG Road,HSR Layout,9.8,244.62,Ola,D037,45.0,12,Wednesday,0
1145,2023-07-12 21:43:00,2023-07-12 21:57:00,Whitefield,Marathahalli,13.7,255.85,Ola,D035,14.0,21,Wednesday,0
1146,2023-07-12 16:24:00,2023-07-12 16:59:00,HSR Layout,Electronic City,5.4,128.57,Ola,D023,35.0,16,Wednesday,0
1147,2023-07-25 07:03:00,2023-07-25 07:35:00,Electronic City,Koramangala,5.9,145.26,Ola,D025,32.0,7,Tuesday,1
1148,2023-07-15 09:10:00,2023-07-15 09:36:00,BTM Layout,HSR Layout,9.3,181.02,Ola,D040,26.0,9,Saturday,1
1149,2023-07-08 11:09:00,2023-07-08 11:41:00,Indiranagar,HSR Layout,12.5,305.13,Ola,D039,32.0,11,Saturday,0
1150,2023-07-04 21:26:00,2023-07-04 21:41:00,Jayanagar,Indiranagar,10.1,230.54,Uber,D014,15.0,21,Tuesday,0
1151,2023-07-27 10:10:00,2023-07-27 10:20:00,BTM Layout,Hebbal,10.0,228.56,Uber,D045,10.0,10,Thursday,0
1152,2023-07-15 14:53:00,2023-07-15 15:29:00,MG Road,Indiranagar,10.9,247.7,Ola,D026,36.0,14,Saturday,0
1153,2023-07-27 21:47:00,2023-07-27 22:04:00,Koramangala,BTM Layout,3.6,77.34,Ola,D048,17.0,21,Thursday,0
1154,2023-07-24 15:42:00,2023-07-24 16:12:00,MG Road,Jayanagar,5.0,91.93,Ola,D002,30.0,15,Monday,0
1155,2023-07-23 07:38:00,2023-07-23 07:48:00,Jayanagar,Indiranagar,13.9,277.98,Ola,D008,10.0,7,Sunday,1
1156,2023-07-02 13:14:00,2023-07-02 13:42:00,MG Road,Marathahalli,9.1,201.32,Uber,D022,28.0,13,Sunday,0
1157,2023-07-18 07:00:00,2023-07-18 07:10:00,Koramangala,Indiranagar,12.5,228.66,Ola,D029,10.0,7,Tuesday,1
1158,2023-07-27 14:27:00,2023-07-27 15:02:00,Whitefield,Hebbal,4.0,87.78,Ola,D042,35.0,14,Thursday,0
1159,2023-07-11 06:40:00,2023-07-11 07:19:00,MG Road,Hebbal,8.7,193.79,Auto,D031,39.0,6,Tuesday,0
1160,2023-07-16 14:35:00,2023-07-16 15:07:00,Indiranagar,Koramangala,4.5,92.72,Ola,D024,32.0,14,Sunday,0
1161,2023-07-14 07:40:00,2023-07-14 08:04:00,Electronic City,HSR Layout,10.3,213.65,Ola,D034,24.0,7,Friday,1
1162,2023-07-08 10:05:00,2023-07-08 10:23:00,HSR Layout,BTM Layout,11.6,212.79,Uber,D015,18.0,10,Saturday,0
1163,2023-07-13 09:03:00,2023-07-13 09:22:00,MG Road,Koramangala,13.3,326.19,Uber,D013,19.0,9,Thursday,1
1164,2023-07-12 20:41:00,2023-07-12 21:11:00,BTM Layout,HSR Layout,8.2,173.08,Auto,D020,30.0,20,Wednesday,0
1165,2023-07-26 11:35:00,2023-07-26 11:47:00,Whitefield,Jayanagar,7.7,147.44,Ola,D007,12.0,11,Wednesday,0
1166,2023-07-19 11:59:00,2023-07-19 12:40:00,Jayanagar,Koramangala,6.8,143.34,Auto,D045,41.0,11,Wednesday,0
1167,2023-07-03 21:09:00,2023-07-03 21:30:00,Electronic City,Koramangala,5.4,99.35,Uber,D048,21.0,21,Monday,0
1168,2023-07-21 22:14:00,2023-07-21 22:54:00,Marathahalli,Koramangala,4.7,84.79,Uber,D037,40.0,22,Friday,0
1169,2023-07-25 11:32:00,2023-07-25 12:09:00,MG Road,Hebbal,6.5,131.01,Auto,D032,37.0,11,Tuesday,0
1170,2023-07-22 10:52:00,2023-07-22 11:03:00,BTM Layout,MG Road,10.8,218.77,Uber,D010,11.0,10,Saturday,0
1171,2023-07-20 18:34:00,2023-07-20 19:10:00,MG Road,Marathahalli,4.3,81.91,Ola,D046,36.0,18,Thursday,1
1172,2023-07-21 14:01:00,2023-07-21 14:11:00,Electronic City,Indiranagar,9.5,203.68,Auto,D017,10.0,14,Friday,0
1173,2023-07-28 20:57:00,2023-07-28 21:42:00,Electronic City,Koramangala,14.4,330.08,Uber,D009,45.0,20,Friday,0
1174,2023-07-24 20:55:00,2023-07-24 21:08:00,Electronic City,Jayanagar,9.5,227.11,Auto,D001,13.0,20,Monday,0
1175,2023-07-02 17:09:00,2023-07-02 17:50:00,HSR Layout,MG Road,5.9,127.33,Auto,D028,41.0,17,Sunday,1
1176,2023-07-23 22:36:00,2023-07-23 22:55:00,Electronic City,BTM Layout,5.0,97.3,Auto,D021,19.0,22,Sunday,0
1177,2023-07-17 14:07:00,2023-07-17 14:28:00,Marathahalli,HSR Layout,14.4,259.22,Uber,D007,21.0,14,Monday,0
1178,2023-07-05 07:12:00,2023-07-05 07:34:00,Indiranagar,Hebbal,14.7,321.87,Auto,D007,22.0,7,Wednesday,1
1179,2023-07-13 16:24:00,2023-07-13 17:00:00,Indiranagar,Koramangala,13.4,271.12,Uber,D048,36.0,16,Thursday,0
1180,2023-07-08 21:13:00,2023-07-08 21:30:00,Electronic City,Jayanagar,14.8,281.06,Ola,D040,17.0,21,Saturday,0
1181,2023-07-08 08:08:00,2023-07-08 08:47:00,Whitefield,Hebbal,9.8,208.67,Auto,D015,39.0,8,Saturday,1
1182,2023-07-19 08:31:00,2023-07-19 09:03:00,Whitefield,Jayanagar,14.1,281.41,Ola,D011,32.0,8,Wednesday,1
1183,2023-07-10 22:00:00,2023-07-10 22:28:00,Marathahalli,Jayanagar,13.8,269.53,Auto,D050,28.0,22,Monday,0
1184,2023-07-23 12:18:00,2023-07-23 12:58:00,Koramangala,Marathahalli,10.1,196.1,Uber,D039,40.0,12,Sunday,0
1185,2023-07-05 06:48:00,2023-07-05 07:00:00,Marathahalli,Indiranagar,11.0,227.4,Auto,D027,12.0,6,Wednesday,0
1186,2023-07-04 17:05:00,2023-07-04 17:17:00,Marathahalli,BTM Layout,4.3,78.01,Auto,D018,12.0,17,Tuesday,1
1187,2023-07-30 17:32:00,2023-07-30 17:48:00,Hebbal,MG Road,5.4,113.75,Auto,D014,16.0,17,Sunday,1
1188,2023-07-21 11:08:00,2023-07-21 11:38:00,Whitefield,Jayanagar,9.4,194.0,Uber,D028,30.0,11,Friday,0
1189,2023-07-11 11:35:00,2023-07-11 12:00:00,Marathahalli,Indiranagar,14.6,316.77,Uber,D006,25.0,11,Tuesday,0
1190,2023-07-04 06:06:00,2023-07-04 06:44:00,Indiranagar,Hebbal,4.3,86.67,Uber,D020,38.0,6,Tuesday,0
1191,2023-07-29 12:05:00,2023-07-29 12:26:00,Electronic City,Hebbal,9.3,207.73,Ola,D035,21.0,12,Saturday,0
1192,2023-07-29 14:18:00,2023-07-29 14:43:00,MG Road,Hebbal,9.0,162.95,Uber,D007,25.0,14,Saturday,0
1193,2023-07-29 17:31:00,2023-07-29 18:16:00,Hebbal,Koramangala,9.3,169.25,Uber,D050,45.0,17,Saturday,1
1194,2023-07-02 17:30:00,2023-07-02 18:11:00,Hebbal,BTM Layout,5.8,124.34,Uber,D009,41.0,17,Sunday,1
1195,2023-07-14 16:46:00,2023-07-14 17:30:00,Whitefield,Jayanagar,7.6,141.69,Uber,D018,44.0,16,Friday,0
1196,2023-07-03 21:24:00,2023-07-03 21:40:00,Indiranagar,MG Road,4.6,92.78,Uber,D027,16.0,21,Monday,0
1197,2023-07-27 21:14:00,2023-07-27 21:24:00,Indiranagar,Koramangala,11.9,276.16,Ola,D005,10.0,21,Thursday,0
1198,2023-07-11 16:26:00,2023-07-11 16:55:00,Electronic City,BTM Layout,7.4,181.76,Auto,D038,29.0,16,Tuesday,0
