trip_id,pickup_time,drop_time,pickup_area,drop_area,distance_km,fare_inr,ride_type,driver_id
1054,2023-07-03 13:58:00,2023-07-03 14:17:00,BTM Layout,Koramangala,3.0,59.83,Ola,D036
1055,2023-07-01 11:59:00,2023-07-01 12:43:00,Electronic City,Jayanagar,10.4,195.74,Uber,D040
1056,2023-07-11 07:06:00,2023-07-11 07:16:00,Marathahalli,Jayanagar,7.0,138.18,Auto,D011
1057,2023-07-04 07:20:00,2023-07-04 07:40:00,Indiranagar,BTM Layout,5.1,95.1,Uber,D008
1058,2023-07-29 13:37:00,2023-07-29 14:12:00,Jayanagar,Electronic City,10.7,212.49,Uber,D031
1059,2023-07-28 08:49:00,2023-07-28 09:06:00,Indiranagar,Electronic City,10.8,209.26,Ola,D007
1060,2023-07-28 14:08:00,2023-07-28 14:48:00,Koramangala,MG Road,9.1,220.95,Auto,D003
1061,2023-07-04 19:06:00,2023-07-04 19:21:00,Koramangala,Hebbal,8.8,216.08,Auto,D045
1062,2023-07-21 22:16:00,2023-07-21 22:40:00,BTM Layout,Koramangala,6.3,137.52,Uber,D012
1063,2023-07-22 19:09:00,2023-07-22 19:21:00,Hebbal,Electronic City,8.1,189.47,Auto,D013
1064,2023-07-18 11:39:00,2023-07-18 12:01:00,Electronic City,HSR Layout,9.1,187.88,Ola,D008
1065,2023-07-02 19:56:00,2023-07-02 20:14:00,BTM Layout,Whitefield,8.9,197.85,Ola,D007
1066,2023-07-08 06:43:00,2023-07-08 06:54:00,HSR Layout,Hebbal,3.3,70.26,Ola,D002
1067,2023-07-30 15:20:00,2023-07-30 15:57:00,Koramangala,Whitefield,4.4,101.02,Ola,D048
1068,2023-07-28 15:51:00,2023-07-28 16:36:00,Hebbal,Whitefield,7.6,167.45,Ola,D046
1069,2023-07-18 18:37:00,2023-07-18 19:20:00,Hebbal,BTM Layout,4.8,116.91,Uber,D012
1070,2023-07-29 18:55:00,2023-07-29 19:40:00,Whitefield,BTM Layout,13.0,278.89,Auto,D031
1071,2023-07-13 19:52:00,2023-07-13 20:35:00,Marathahalli,BTM Layout,8.7,179.35,Auto,D004
1072,2023-07-03 06:53:00,2023-07-03 07:16:00,Hebbal,MG Road,11.4,255.68,Auto,D030
1073,2023-07-03 17:51:00,2023-07-03 18:09:00,Marathahalli,Electronic City,8.2,169.01,Auto,D024
1074,2023-07-17 09:30:00,2023-07-17 09:43:00,Electronic City,Indiranagar,8.9,163.75,Uber,D050
1075,2023-07-13 21:52:00,2023-07-13 22:09:00,Hebbal,MG Road,8.9,195.95,Ola,D026
1076,2023-07-03 18:06:00,2023-07-03 18:33:00,Electronic City,HSR Layout,3.7,82.08,Uber,D043
1077,2023-07-28 20:54:00,2023-07-28 21:22:00,BTM Layout,Whitefield,9.8,236.57,Auto,D040
1078,2023-07-30 11:24:00,2023-07-30 11:46:00,Marathahalli,Koramangala,13.7,272.65,Ola,D006
1079,2023-07-17 11:49:00,2023-07-17 12:16:00,Marathahalli,Whitefield,10.8,255.25,Auto,D020
1080,2023-07-25 15:19:00,2023-07-25 15:55:00,HSR Layout,Hebbal,6.0,114.1,Uber,D014
1081,2023-07-12 06:02:00,2023-07-12 06:24:00,BTM Layout,Marathahalli,12.3,303.95,Auto,D039
1082,2023-07-19 16:42:00,2023-07-19 17:12:00,Jayanagar,HSR Layout,3.5,79.62,Uber,D043
1083,2023-07-24 18:17:00,2023-07-24 18:46:00,Indiranagar,Marathahalli,9.6,235.52,Auto,D022
1084,2023-07-10 06:55:00,2023-07-10 07:25:00,BTM Layout,HSR Layout,11.0,239.5,Uber,D029
1085,2023-07-12 12:47:00,2023-07-12 13:08:00,Electronic City,HSR Layout,6.9,145.73,Auto,D045
1086,2023-07-20 08:07:00,2023-07-20 08:45:00,MG Road,Electronic City,10.5,244.86,Ola,D030
1087,2023-07-08 18:29:00,2023-07-08 19:05:00,Whitefield,Hebbal,10.6,199.44,Uber,D029
1088,2023-07-09 18:56:00,2023-07-09 19:20:00,Whitefield,Jayanagar,14.2,314.29,Auto,D022
1089,2023-07-24 06:03:00,2023-07-24 06:29:00,Marathahalli,MG Road,10.0,192.72,Auto,D016
1090,2023-07-21 08:13:00,2023-07-21 08:28:00,Marathahalli,Electronic City,5.5,108.42,Uber,D046
1091,2023-07-01 22:39:00,2023-07-01 22:57:00,Jayanagar,HSR Layout,9.7,227.66,Ola,D029
1092,2023-07-17 07:15:00,2023-07-17 07:54:00,BTM Layout,Electronic City,9.6,185.44,Ola,D018
1093,2023-07-05 20:28:00,2023-07-05 21:12:00,Koramangala,MG Road,9.5,197.05,Ola,D034
1094,2023-07-04 13:37:00,2023-07-04 14:18:00,Whitefield,Indiranagar,5.0,121.82,Auto,D029
1095,2023-07-27 17:08:00,2023-07-27 17:27:00,Whitefield,BTM Layout,7.4,152.1,Uber,D035
1096,2023-07-26 19:11:00,2023-07-26 19:40:00,BTM Layout,Koramangala,7.2,175.86,Ola,D033
1097,2023-07-11 15:31:00,2023-07-11 15:46:00,MG Road,Hebbal,7.6,144.55,Auto,D029
1098,2023-07-11 12:48:00,2023-07-11 13:14:00,Electronic City,BTM Layout,13.6,337.44,Auto,D012
1099,2023-07-02 15:33:00,2023-07-02 15:46:00,Electronic City,Whitefield,5.8,110.4,Uber,D044
1100,2023-07-10 07:57:00,2023-07-10 08:08:00,Hebbal,Electronic City,3.5,65.8,Ola,D040
1101,2023-07-05 07:43:00,2023-07-05 08:20:00,Hebbal,Jayanagar,11.8,247.47,Auto,D046
1102,2023-07-05 19:19:00,2023-07-05 19:51:00,Hebbal,MG Road,8.0,188.08,Uber,D025
1103,2023-07-08 17:38:00,2023-07-08 18:12:00,HSR Layout,Electronic City,3.6,79.5,Auto,D009
1104,2023-07-01 11:29:00,2023-07-01 11:43:00,HSR Layout,Electronic City,11.1,261.5,Ola,D009
1105,2023-07-24 17:59:00,2023-07-24 18:13:00,Hebbal,BTM Layout,14.6,330.95,Ola,D010
1106,2023-07-17 20:11:00,2023-07-17 20:52:00,Koramangala,Jayanagar,3.1,63.73,Ola,D022
1107,2023-07-14 14:16:00,2023-07-14 14:53:00,Whitefield,Jayanagar,8.3,206.47,Ola,D041
1108,2023-07-01 10:26:00,2023-07-01 10:47:00,Whitefield,Koramangala,5.8,117.02,Auto,D035
1109,2023-07-17 14:14:00,2023-07-17 14:40:00,Jayanagar,Hebbal,11.6,232.24,Auto,D049
1110,2023-07-27 08:53:00,2023-07-27 09:37:00,Electronic City,Marathahalli,3.1,66.27,Uber,D007
1111,2023-07-15 07:23:00,2023-07-15 07:36:00,Indiranagar,Electronic City,13.3,314.33,Auto,D033
1112,2023-07-03 12:49:00,2023-07-03 13:08:00,Electronic City,Jayanagar,5.5,99.68,Ola,D020
1113,2023-07-07 22:18:00,2023-07-07 22:30:00,Marathahalli,Hebbal,13.5,260.96,Uber,D021
1114,2023-07-06 16:19:00,2023-07-06 16:43:00,MG Road,Indiranagar,4.9,117.37,Uber,D014
1115,2023-07-09 10:59:00,2023-07-09 11:13:00,Koramangala,MG Road,6.2,113.9,Auto,D010
1116,2023-07-25 19:22:00,2023-07-25 19:38:00,Marathahalli,MG Road,3.1,64.25,Uber,D027
1117,2023-07-02 19:17:00,2023-07-02 19:32:00,Hebbal,Electronic City,6.8,166.38,Auto,D044
1118,2023-07-17 12:55:00,2023-07-17 13:26:00,HSR Layout,Indiranagar,3.7,78.04,Uber,D031
1119,2023-07-13 21:33:00,2023-07-13 22:01:00,Electronic City,Marathahalli,13.5,307.81,Ola,D044
1120,2023-07-27 08:52:00,2023-07-27 09:10:00,Koramangala,Marathahalli,11.9,284.09,Ola,D027
1121,2023-07-21 17:42:00,2023-07-21 18:12:00,Koramangala,MG Road,6.2,127.2,Ola,D022
1122,2023-07-19 20:34:00,2023-07-19 21:15:00,HSR Layout,Hebbal,4.8,100.03,Uber,D032
1123,2023-07-26 10:33:00,2023-07-26 11:04:00,MG Road,Hebbal,11.9,231.09,Ola,D013
1124,2023-07-05 09:25:00,2023-07-05 09:46:00,BTM Layout,MG Road,3.2,61.15,Uber,D038
1125,2023-07-10 18:19:00,2023-07-10 18:36:00,BTM Layout,Indiranagar,10.8,254.5,Auto,D046
1126,2023-07-27 20:57:00,2023-07-27 21:30:00,HSR Layout,MG Road,5.8,116.09,Ola,D024
1127,2023-07-22 12:00:00,2023-07-22 12:12:00,Hebbal,HSR Layout,6.6,155.39,Auto,D022
1128,2023-07-14 11:09:00,2023-07-14 11:37:00,HSR Layout,Whitefield,9.0,164.59,Uber,D010
1129,2023-07-16 12:20:00,2023-07-16 13:04:00,Electronic City,Marathahalli,10.3,234.04,Uber,D027
1130,2023-07-25 08:47:00,2023-07-25 09:07:00,Jayanagar,Marathahalli,5.8,141.2,Ola,D025
1131,2023-07-14 17:20:00,2023-07-14 17:34:00,Electronic City,Jayanagar,10.9,229.51,Uber,D031
1132,2023-07-25 09:09:00,2023-07-25 09:35:00,Electronic City,MG Road,10.1,194.22,Uber,D004
1133,2023-07-06 20:40:00,2023-07-06 21:09:00,Hebbal,Marathahalli,12.3,252.61,Uber,D009
1134,2023-07-14 08:40:00,2023-07-14 08:51:00,Marathahalli,HSR Layout,9.9,207.23,Ola,D012
1135,2023-07-16 15:57:00,2023-07-16 16:41:00,Hebbal,Marathahalli,9.2,214.34,Ola,D049
1136,2023-07-16 10:50:00,2023-07-16 11:02:00,MG Road,Marathahalli,9.8,210.72,Ola,D037
1137,2023-07-15 11:52:00,2023-07-15 12:26:00,Jayanagar,Electronic City,9.7,195.78,Ola,D024
1138,2023-07-06 17:50:00,2023-07-06 18:35:00,Jayanagar,Hebbal,13.4,258.45,Auto,D036
1139,2023-07-05 13:33:00,2023-07-05 13:54:00,BTM Layout,Koramangala,3.6,65.94,Uber,D043
1140,2023-07-13 17:36:00,2023-07-13 18:10:00,Jayanagar,MG Road,4.3,89.96,Auto,D002
1141,2023-07-30 14:01:00,2023-07-30 14:46:00,Whitefield,Hebbal,13.0,291.43,Uber,D040
1142,2023-07-18 06:53:00,2023-07-18 07:05:00,Koramangala,Jayanagar,6.1,146.49,Auto,D046
1143,2023-07-15 08:54:00,2023-07-15 09:29:00,HSR Layout,Hebbal,6.4,117.34,Uber,D003
1144,2023-07-19 12:27:00,2023-07-19 13:12:00,MG Road,HSR Layout,9.8,244.62,Ola,D037
1145,2023-07-12 21:43:00,2023-07-12 21:57:00,Whitefield,Marathahalli,13.7,255.85,Ola,D035
1146,2023-07-12 16:24:00,2023-07-12 16:59:00,HSR Layout,Electronic City,5.4,128.57,Ola,D023
1147,2023-07-25 07:03:00,2023-07-25 07:35:00,Electronic City,Koramangala,5.9,145.26,Ola,D025
1148,2023-07-15 09:10:00,2023-07-15 09:36:00,BTM Layout,HSR Layout,9.3,181.02,Ola,D040
1149,2023-07-08 11:09:00,2023-07-08 11:41:00,Indiranagar,HSR Layout,12.5,305.13,Ola,D039
1150,2023-07-04 21:26:00,2023-07-04 21:41:00,Jayanagar,Indiranagar,10.1,230.54,Uber,D014
1151,2023-07-27 10:10:00,2023-07-27 10:20:00,BTM Layout,Hebbal,10.0,228.56,Uber,D045
1152,2023-07-15 14:53:00,2023-07-15 15:29:00,MG Road,Indiranagar,10.9,247.7,Ola,D026
1153,2023-07-27 21:47:00,2023-07-27 22:04:00,Koramangala,BTM Layout,3.6,77.34,Ola,D048
1154,2023-07-24 15:42:00,2023-07-24 16:12:00,MG Road,Jayanagar,5.0,91.93,Ola,D002
1155,2023-07-23 07:38:00,2023-07-23 07:48:00,Jayanagar,Indiranagar,13.9,277.98,Ola,D008
1156,2023-07-02 13:14:00,2023-07-02 13:42:00,MG Road,Marathahalli,9.1,201.32,Uber,D022
1157,2023-07-18 07:00:00,2023-07-18 07:10:00,Koramangala,Indiranagar,12.5,228.66,Ola,D029
1158,2023-07-27 14:27:00,2023-07-27 15:02:00,Whitefield,Hebbal,4.0,87.78,Ola,D042
1159,2023-07-11 06:40:00,2023-07-11 07:19:00,MG Road,Hebbal,8.7,193.79,Auto,D031
1160,2023-07-16 14:35:00,2023-07-16 15:07:00,Indiranagar,Koramangala,4.5,92.72,Ola,D024
1161,2023-07-14 07:40:00,2023-07-14 08:04:00,Electronic City,HSR Layout,10.3,213.65,Ola,D034
1162,2023-07-08 10:05:00,2023-07-08 10:23:00,HSR Layout,BTM Layout,11.6,212.79,Uber,D015
1163,2023-07-13 09:03:00,2023-07-13 09:22:00,MG Road,Koramangala,13.3,326.19,Uber,D013
1164,2023-07-12 20:41:00,2023-07-12 21:11:00,BTM Layout,HSR Layout,8.2,173.08,Auto,D020
1165,2023-07-26 11:35:00,2023-07-26 11:47:00,Whitefield,Jayanagar,7.7,147.44,Ola,D007
1166,2023-07-19 11:59:00,2023-07-19 12:40:00,Jayanagar,Koramangala,6.8,143.34,Auto,D045
1167,2023-07-03 21:09:00,2023-07-03 21:30:00,Electronic City,Koramangala,5.4,99.35,Uber,D048
1168,2023-07-21 22:14:00,2023-07-21 22:54:00,Marathahalli,Koramangala,4.7,84.79,Uber,D037
1169,2023-07-25 11:32:00,2023-07-25 12:09:00,MG Road,Hebbal,6.5,131.01,Auto,D032
1170,2023-07-22 10:52:00,2023-07-22 11:03:00,BTM Layout,MG Road,10.8,218.77,Uber,D010
1171,2023-07-20 18:34:00,2023-07-20 19:10:00,MG Road,Marathahalli,4.3,81.91,Ola,D046
1172,2023-07-21 14:01:00,2023-07-21 14:11:00,Electronic City,Indiranagar,9.5,203.68,Auto,D017
1173,2023-07-28 20:57:00,2023-07-28 21:42:00,Electronic City,Koramangala,14.4,330.08,Uber,D009
1174,2023-07-24 20:55:00,2023-07-24 21:08:00,Electronic City,Jayanagar,9.5,227.11,Auto,D001
1175,2023-07-02 17:09:00,2023-07-02 17:50:00,HSR Layout,MG Road,5.9,127.33,Auto,D028
1176,2023-07-23 22:36:00,2023-07-23 22:55:00,Electronic City,BTM Layout,5.0,97.3,Auto,D021
1177,2023-07-17 14:07:00,2023-07-17 14:28:00,Marathahalli,HSR Layout,14.4,259.22,Uber,D007
1178,2023-07-05 07:12:00,2023-07-05 07:34:00,Indiranagar,Hebbal,14.7,321.87,Auto,D007
1179,2023-07-13 16:24:00,2023-07-13 17:00:00,Indiranagar,Koramangala,13.4,271.12,Uber,D048
1180,2023-07-08 21:13:00,2023-07-08 21:30:00,Electronic City,Jayanagar,14.8,281.06,Ola,D040
1181,2023-07-08 08:08:00,2023-07-08 08:47:00,Whitefield,Hebbal,9.8,208.67,Auto,D015
1182,2023-07-19 08:31:00,2023-07-19 09:03:00,Whitefield,Jayanagar,14.1,281.41,Ola,D011
1183,2023-07-10 22:00:00,2023-07-10 22:28:00,Marathahalli,Jayanagar,13.8,269.53,Auto,D050
1184,2023-07-23 12:18:00,2023-07-23 12:58:00,Koramangala,Marathahalli,10.1,196.1,Uber,D039
1185,2023-07-05 06:48:00,2023-07-05 07:00:00,Marathahalli,Indiranagar,11.0,227.4,Auto,D027
1186,2023-07-04 17:05:00,2023-07-04 17:17:00,Marathahalli,BTM Layout,4.3,78.01,Auto,D018
1187,2023-07-30 17:32:00,2023-07-30 17:48:00,Hebbal,MG Road,5.4,113.75,Auto,D014
1188,2023-07-21 11:08:00,2023-07-21 11:38:00,Whitefield,Jayanagar,9.4,194.0,Uber,D028
1189,2023-07-11 11:35:00,2023-07-11 12:00:00,Marathahalli,Indiranagar,14.6,316.77,Uber,D006
1190,2023-07-04 06:06:00,2023-07-04 06:44:00,Indiranagar,Hebbal,4.3,86.67,Uber,D020
1191,2023-07-29 12:05:00,2023-07-29 12:26:00,Electronic City,Hebbal,9.3,207.73,Ola,D035
1192,2023-07-29 14:18:00,2023-07-29 14:43:00,MG Road,Hebbal,9.0,162.95,Uber,D007
1193,2023-07-29 17:31:00,2023-07-29 18:16:00,Hebbal,Koramangala,9.3,169.25,Uber,D050
1194,2023-07-02 17:30:00,2023-07-02 18:11:00,Hebbal,BTM Layout,5.8,124.34,Uber,D009
1195,2023-07-14 16:46:00,2023-07-14 17:30:00,Whitefield,Jayanagar,7.6,141.69,Uber,D018
1196,2023-07-03 21:24:00,2023-07-03 21:40:00,Indiranagar,MG Road,4.6,92.78,Uber,D027
1197,2023-07-27 21:14:00,2023-07-27 21:24:00,Indiranagar,Koramangala,11.9,276.16,Ola,D005
1198,2023-07-11 16:26:00,2023-07-11 16:55:00,Electronic City,BTM Layout,7.4,181.76,Auto,D038
1199,2023-07-16 10:07:00,2023-07-16 10:18:00,BTM Layout,Electronic City,7.1,155.58,Ola,D020
1200,2023-07-22 07:20:00,2023-07-22 07:57:00,Hebbal,HSR Layout,5.8,134.27,Uber,D038
1201,2023-07-27 12:42:00,2023-07-27 13:26:00,Indiranagar,MG Road,11.2,259.93,Ola,D033
1202,2023-07-11 17:17:00,2023-07-11 17:39:00,Koramangala,HSR Layout,14.3,287.95,Auto,D040
1203,2023-07-15 07:46:00,2023-07-15 08:15:00,Indiranagar,Jayanagar,9.7,231.22,Ola,D033
1204,2023-07-16 16:32:00,2023-07-16 17:05:00,Indiranagar,Marathahalli,5.0,101.22,Ola,D006
1205,2023-07-03 18:29:00,2023-07-03 18:39:00,Whitefield,MG Road,10.9,220.19,Ola,D048
1206,2023-07-13 20:03:00,2023-07-13 20:42:00,Whitefield,HSR Layout,11.4,233.65,Ola,D026
1207,2023-07-01 16:29:00,2023-07-01 16:53:00,Marathahalli,BTM Layout,15.0,361.55,Uber,D037
1208,2023-07-18 11:37:00,2023-07-18 12:01:00,Hebbal,Indiranagar,11.6,216.08,Auto,D001
1209,2023-07-20 08:06:00,2023-07-20 08:42:00,Whitefield,HSR Layout,11.7,282.33,Ola,D040
1210,2023-07-07 21:24:00,2023-07-07 22:00:00,HSR Layout,MG Road,10.8,203.56,Uber,D050
1211,2023-07-13 16:22:00,2023-07-13 16:35:00,MG Road,Jayanagar,11.7,265.6,Auto,D016
1212,2023-07-06 21:55:00,2023-07-06 22:25:00,Indiranagar,Koramangala,12.7,237.13,Ola,D025
1213,2023-07-30 11:05:00,2023-07-30 11:35:00,HSR Layout,Electronic City,7.3,147.75,Uber,D013
1214,2023-07-01 17:00:00,2023-07-01 17:25:00,MG Road,Koramangala,10.0,193.75,Ola,D026
1215,2023-07-20 20:22:00,2023-07-20 21:06:00,Electronic City,Whitefield,4.8,105.39,Ola,D021
1216,2023-07-22 21:00:00,2023-07-22 21:11:00,HSR Layout,Hebbal,12.2,236.85,Uber,D048
1217,2023-07-03 14:01:00,2023-07-03 14:37:00,MG Road,Hebbal,5.5,134.07,Ola,D012
1218,2023-07-28 15:47:00,2023-07-28 16:04:00,BTM Layout,Electronic City,3.1,57.49,Ola,D049
1219,2023-07-23 10:45:00,2023-07-23 11:09:00,Hebbal,Whitefield,6.6,156.75,Auto,D039
1220,2023-07-20 08:37:00,2023-07-20 09:14:00,Koramangala,BTM Layout,7.8,152.45,Auto,D024
1221,2023-07-14 17:35:00,2023-07-14 18:12:00,Whitefield,Electronic City,5.7,114.76,Uber,D006
1222,2023-07-05 17:25:00,2023-07-05 17:35:00,Whitefield,MG Road,10.1,205.31,Uber,D045
1223,2023-07-08 20:55:00,2023-07-08 21:14:00,Whitefield,Indiranagar,9.6,191.08,Auto,D021
1224,2023-07-28 10:44:00,2023-07-28 10:58:00,HSR Layout,Jayanagar,10.0,221.87,Ola,D030
1225,2023-07-29 06:06:00,2023-07-29 06:48:00,Koramangala,BTM Layout,12.8,284.67,Uber,D007
1226,2023-07-05 20:13:00,2023-07-05 20:55:00,Indiranagar,Koramangala,14.8,269.93,Uber,D047
1227,2023-07-23 16:58:00,2023-07-23 17:12:00,MG Road,HSR Layout,11.3,239.9,Uber,D003
1228,2023-07-25 19:42:00,2023-07-25 20:23:00,Marathahalli,Koramangala,12.0,239.18,Uber,D032
1229,2023-07-24 11:16:00,2023-07-24 11:54:00,Koramangala,BTM Layout,11.1,268.47,Ola,D033
1230,2023-07-12 07:16:00,2023-07-12 07:50:00,Jayanagar,Indiranagar,3.3,68.79,Uber,D007
1231,2023-07-21 08:17:00,2023-07-21 08:34:00,Indiranagar,Hebbal,13.5,327.78,Auto,D021
1232,2023-07-15 22:42:00,2023-07-15 23:14:00,HSR Layout,MG Road,6.1,121.55,Uber,D045
1233,2023-07-02 13:27:00,2023-07-02 13:41:00,Indiranagar,Electronic City,9.2,178.6,Auto,D023
1234,2023-07-04 14:39:00,2023-07-04 15:00:00,BTM Layout,Marathahalli,14.4,317.91,Ola,D035
1235,2023-07-14 19:06:00,2023-07-14 19:20:00,Marathahalli,MG Road,4.5,100.99,Auto,D050
1236,2023-07-20 12:36:00,2023-07-20 13:14:00,Hebbal,BTM Layout,9.0,184.31,Ola,D048
1237,2023-07-24 17:02:00,2023-07-24 17:38:00,Hebbal,Whitefield,14.2,289.14,Uber,D042
1238,2023-07-02 09:41:00,2023-07-02 09:54:00,Koramangala,Electronic City,7.3,179.7,Ola,D021
1239,2023-07-19 10:54:00,2023-07-19 11:15:00,Indiranagar,Electronic City,12.9,255.96,Auto,D038
1240,2023-07-14 17:53:00,2023-07-14 18:20:00,Koramangala,BTM Layout,7.0,151.17,Uber,D047
1241,2023-07-13 17:20:00,2023-07-13 17:47:00,Electronic City,Indiranagar,5.6,133.46,Ola,D044
1242,2023-07-22 13:33:00,2023-07-22 14:10:00,BTM Layout,Hebbal,4.7,86.17,Auto,D050
1243,2023-07-18 22:33:00,2023-07-18 23:17:00,Hebbal,Jayanagar,9.1,186.6,Uber,D038
1244,2023-07-13 14:40:00,2023-07-13 15:18:00,Koramangala,Jayanagar,13.2,319.59,Ola,D009
